pais;ano;idh;corrupcao_indice;competitividade_indice;globalizacao_indice;pib;populacao
África do Sul;1997;0,6328;56;44,54;52,60298;148814151;43353,632
África do Sul;1998;0,6272;57;31,11;54,51911;134295557;43961,924
África do Sul;1999;0,6216;50;43,9;61,04379;133183581;44526,272
África do Sul;2000;0,6160;52;51,52;62,47182;132877648;45064,098
África do Sul;2001;0,6126;50;45,12;62,04144;118478979;45576,215
África do Sul;2002;0,6092;50;40,97;62,15008;111100828;46076,953
África do Sul;2003;0,6058;48;47,67;61,81803;168219302;46566,626
África do Sul;2004;0,6024;48;53,79;63,23793;219092937;47032,866
África do Sul;2005;0,5990;44;51,95;64,01835;247064310;47483,447
África do Sul;2006;0,6010;46;52,01;64,97832;261007039;47925,669
África do Sul;2007;0,6040;45;44,48;66,29974;286169134;48367,131
África do Sul;2008;0,6080;46;39,05;66,14061;275278722;48782,755
África do Sul;2009;0,6100;51;52,85;67,06;282754441;49052,489
África do Sul;2010;0,6150;49;54,09;65,6;363703903;49109,107
África do Sul;2011;0,6190;47;56,86;66,14;408704000;50587
Alemanha;1997;0,8466;81;70,61;78,90716;2157229867;82274,11668
Alemanha;1998;0,8524;83;62,95;80,86485;2178170501;82286,75609
Alemanha;1999;0,8582;82;76,72;82,53677;2131046239;82338,02601
Alemanha;2000;0,8640;79;76,96;84,94917;1886401327;82447,26727
Alemanha;2001;0,8702;80;72,94;84,62968;1880894855;82584,69666
Alemanha;2002;0,8764;76;67,21;85,26765;2006587615;82722,8935
Alemanha;2003;0,8826;74;69,81;85,35062;2423814898;82769,17848
Alemanha;2004;0,8888;73;73,44;85,10805;2726341473;82751,77985
Alemanha;2005;0,8950;77;67,84;85,3256;2766253793;82703,83456
Alemanha;2006;0,8980;82;68,64;85,456;2902748698;82610,4831
Alemanha;2007;0,9010;82;78,02;86,00454;3323807412;82500,62788
Alemanha;2008;0,9020;80;74,74;85,10198;3623686234;82328,58583
Alemanha;2009;0,9000;78;83,51;81,75;3298635953;82100,1876
Alemanha;2010;0,9030;79;82,73;84,16;3280529801;81906,32178
Alemanha;2011;0,9050;80;87,82;85,1;3577031000;81844
Austrália;1997;0,8958;88;70,78;79,42127;437674127;18415,00018
Austrália;1998;0,8992;86;64,84;80,31467;401216849;18620,57124
Austrália;1999;0,9026;89;76,78;80,88444;390208673;18829,98225
Austrália;2000;0,9060;87;78,36;82,07458;416923318;19052,91407
Austrália;2001;0,9084;87;75,3;82,54441;380427713;19293,98163
Austrália;2002;0,9108;83;73,27;81,79132;397239431;19534,6592
Austrália;2003;0,9132;85;80,62;82,30564;468468841;19766,25789
Austrália;2004;0,9156;86;86,05;82,23457;615275999;19994,78963
Austrália;2005;0,9180;88;81,98;82,03082;696033679;20232,05724
Austrália;2006;0,9200;88;82,5;82,89672;749316412;20489,17957
Austrália;2007;0,9220;88;82,39;83,23593;856816362;20749,32886
Austrália;2008;0,9240;87;83,5;81,40752;1039415095;21007,01018
Austrália;2009;0,9260;86;88,93;80,49;924843129;21262,33754
Austrália;2010;0,9270;87;92,17;83,82;1131623072;21515,44693
Austrália;2011;0,9290;87;89,26;81,4;1371764000;22708
Bélgica;1997;0,8628;69;65,42;91,74219;249766289;10199,787
Bélgica;1998;0,8672;68;55,72;91,21959;255599057;10217,03
Bélgica;1999;0,8716;53;69,18;91,70037;254503435;10235,655
Bélgica;2000;0,8760;54;70,85;92,77466;232672287;10263,618
Bélgica;2001;0,8754;53;67,5;92,39379;232485996;10291,679
Bélgica;2002;0,8748;61;63,59;92,0145;252794655;10311,97
Bélgica;2003;0,8742;66;70,4;92,11652;311689092;10330,824
Bélgica;2004;0,8736;71;70,32;92,15514;361689544;10348,276
Bélgica;2005;0,8730;76;67,46;91,92236;377253333;10364,388
Bélgica;2006;0,8770;75;68,09;92,1679;399800035;10379,067
Bélgica;2007;0,8800;74;71,54;92,73696;459338824;10392,226
Bélgica;2008;0,8820;73;68,75;92,59628;507020324;10403,951
Bélgica;2009;0,8830;71;75,97;91,51;472877558;10414,336
Bélgica;2010;0,8850;73;73,59;92,95;469374172;10423,493
Bélgica;2011;0,8860;71;77,6;92,6;513396000;10840
Brasil;1997;0,6464;27;54,14;56,34368;871199987;168638,6732
Brasil;1998;0,6526;30;39,98;56,7468;843826501;171201,0882
Brasil;1999;0,6588;36;52,84;57,93183;586863191;173763,8032
Brasil;2000;0,6650;40;52,23;57,58359;644701831;176319,5522
Brasil;2001;0,6704;41;43,79;60,20452;553582178;178869,5882
Brasil;2002;0,6758;39;43,91;60,11885;504221229;181417,5202
Brasil;2003;0,6812;40;44,49;59,091;552469288;183959,8482
Brasil;2004;0,6866;40;48,13;60,08801;663760000;186488,5232
Brasil;2005;0,6920;39;49,86;60,28859;882185292;188993,0052
Brasil;2006;0,6950;39;46,42;60,10651;1088917279;191468,9323
Brasil;2007;0,7000;37;44,71;60,721;1365982652;193918,4993
Brasil;2008;0,7050;33;48,58;59,32183;1652632229;196342,5104
Brasil;2009;0,7080;35;56,87;61,74;1594489675;198739,1914
Brasil;2010;0,7150;35;56,53;60,38;2087899554;201103,2515
Brasil;2011;0,7180;37;61,04;59,32;2492908000;192376
Canadá;1997;0,8736;89;78,29;86,41527;637536473;30305,602
Canadá;1998;0,8754;90;70,74;87,46355;616766431;30551,66
Canadá;1999;0,8772;91;77,35;88,13633;661264724;30820,257
Canadá;2000;0,8790;92;80,06;88,7608;724918861;31099,561
Canadá;2001;0,8816;92;77,48;88,20924;715423554;31376,736
Canadá;2002;0,8842;92;76,29;87,85097;734661951;31640,962
Canadá;2003;0,8868;89;80,66;87,47486;865873242;31889,309
Canadá;2004;0,8894;90;86,63;87,38918;992226100;32134,763
Canadá;2005;0,8920;87;82,65;86,27383;1133759985;32386,378
Canadá;2006;0,8970;85;81,69;86,01376;1278610847;32656,679
Canadá;2007;0,9000;84;83,82;86,1506;1424065729;32935,961
Canadá;2008;0,9030;85;82,85;85,80734;1502678438;33212,696
Canadá;2009;0,9030;87;88,71;86,32;1337577640;33487,208
Canadá;2010;0,9070;87;90,46;88,24;1577040082;33759,742
Canadá;2011;0,9080;87;90,78;85,8;1736869000;34896
China;1997;0,5598;22;60,3;46,8438;952652693;1230075
China;1998;0,5692;24;56,26;52,90546;1019458585;1241935
China;1999;0,5786;29;61,08;54,33805;1083277930;1252735
China;2000;0,5880;35;65,19;55,71503;1198474934;1262645
China;2001;0,5970;34;58,33;58,28614;1324806914;1271850
China;2002;0,6060;31;53,68;56,88415;1453827555;1280400
China;2003;0,6150;35;60,92;57,59726;1640958733;1288400
China;2004;0,6240;35;70,72;59,84493;1931644331;1296075
China;2005;0,6330;34;63,22;60,93465;2256902591;1303720
China;2006;0,6440;34;71,55;60,41989;2712950887;1311020
China;2007;0,6560;32;79,48;61,64787;3494055945;1317885
China;2008;0,6650;33;73,76;60,99324;4521827288;1324786
China;2009;0,6740;35;76,59;59,85;4991256407;1331350,159
China;2010;0,6820;36;80,18;62,68;5926612010;1337938,264
China;2011;0,6870;36;81,1;56,27;7298147000;1347350
Cingapura;1997;0,7404;93;90,24;85,63774;104561712;3769,76
Cingapura;1998;0,7606;88;84,28;85,46378;95823612;3868,483
Cingapura;1999;0,7808;87;87,59;86,06906;85963561;3965,084
Cingapura;2000;0,8010;91;89,55;86,46375;95922653;4063,333
Cingapura;2001;0,8078;91;86,92;88,32622;91148433;4169,481
Cingapura;2002;0,8146;91;76,26;87,82262;90582818;4281,211
Cingapura;2003;0,8214;92;86,09;88,61915;93362871;4390,624
Cingapura;2004;0,8282;93;89,01;87,70869;109336484;4498,226
Cingapura;2005;0,8350;94;89,68;83,35249;123506892;4605,741
Cingapura;2006;0,8430;93;90,99;83,19348;138729867;4713,561
Cingapura;2007;0,8500;94;99,12;84,28082;168196799;4821,918
Cingapura;2008;0,8550;94;99,33;84,38914;177792063;4930,613
Cingapura;2009;0,8560;93;95,74;84,07;188479482;5035,897
Cingapura;2010;0,8640;92;100;84,58;208765019;5140,105
Cingapura;2011;0,8660;92;98,56;84,39;259849000;5184
Coréia;1997;0,8078;43;56,49;57,05735;516282942;45807,825
Coréia;1998;0,8152;50;39,46;59,69007;345432412;46151,512
Coréia;1999;0,8226;43;46,36;59,65839;445399304;46485,422
Coréia;2000;0,8300;42;62,08;61,2593;533384028;46838,842
Coréia;2001;0,8372;38;56,33;63,20233;504585783;47177,811
Coréia;2002;0,8444;40;53,55;62,53816;575928910;47437,276
Coréia;2003;0,8516;42;54,15;62,47986;643762389;47656,631
Coréia;2004;0,8588;45;62,2;63,63209;771975256;47853,847
Coréia;2005;0,8660;43;64,24;62,78516;844863004;48005,157
Coréia;2006;0,8730;45;57,68;63,57491;951773479;48123,561
Coréia;2007;0,8810;50;61,56;65,58926;1049235951;48250,148
Coréia;2008;0,8860;51;58,88;65,57427;931402205;48379,392
Coréia;2009;0,8890;51;68,41;65,87;834060442;48508,972
Coréia;2010;0,8940;56;76,25;64,73;1014483158;48636,068
Coréia;2011;0,8970;55;78,5;65,57;1116247000;50004
Espanha;1997;0,8162;44;62,99;80,11502;572637500;39907,236
Espanha;1998;0,8238;43;52,21;81,83648;600838623;40046,103
Espanha;1999;0,8314;59;69,76;82,63885;617879821;40251,435
Espanha;2000;0,8390;61;64,76;84,13805;580673484;40589,004
Espanha;2001;0,8426;66;60,02;84,53065;609107830;41046,894
Espanha;2002;0,8462;70;56,98;84,19816;686246941;41639,614
Espanha;2003;0,8498;70;61,79;84,47754;883667043;42321,028
Espanha;2004;0,8534;71;67,41;84,31984;1044299169;43000,157
Espanha;2005;0,8570;69;59,43;84,20168;1130169626;43704,367
Espanha;2006;0,8620;71;58,38;84,4636;1234767751;44431,75
Espanha;2007;0,8660;70;61,21;85,18317;1441941153;45211,636
Espanha;2008;0,8710;68;57,51;84,70928;1593912184;45910,365
Espanha;2009;0,8740;67;57,85;85,71;1464088897;46295,24
Espanha;2010;0,8760;65;58,75;82,94;1407405298;46505,963
Espanha;2011;0,8780;61;66,68;84,71;1493513000;46163
Estados Unidos;1997;0,8886;78;100;78,91035;8256500000;273202,9603
Estados Unidos;1998;0,8914;77;100;79,40002;8741000000;276416,68
Estados Unidos;1999;0,8942;76;100;79,70256;9301000000;279609,2417
Estados Unidos;2000;0,8970;75;100;80,21936;9898800000;282747,4176
Estados Unidos;2001;0,8980;75;100;79,72411;10233900000;285662,9505
Estados Unidos;2002;0,8990;78;100;78,4362;10590200000;288390,8604
Estados Unidos;2003;0,9000;76;100;79,09614;11089200000;290918,5088
Estados Unidos;2004;0,9010;77;100;79,71188;11812300000;293643,3756
Estados Unidos;2005;0,9020;75;100;79,96336;12579700000;296356,3091
Estados Unidos;2006;0,9040;75;100;80,58192;13336200000;299202,1621
Estados Unidos;2007;0,9050;76;100;81,2085;13995000000;302194,9361
Estados Unidos;2008;0,9070;73;100;79,83883;14296900000;304995,5871
Estados Unidos;2009;0,9060;72;100;74,93;14048056670;307632,6582
Estados Unidos;2010;0,9080;73;99,09;78,8;14586736313;308910,7625
Estados Unidos;2011;0,9130;71;99,09;78,8;9398308,123;310000
França;1997;0,8298;70;66,13;82,87063;1126568,213;60253,71426
França;1998;0,8352;70;55,76;84,21957;1164626,623;60534,60149
França;1999;0,8406;67;68,6;84,74314;1202965,843;60823,80969
França;2000;0,8460;67;69,16;86,92516;1247236,33;61136,35584
França;2001;0,8506;66;58,58;85,94672;1270131,415;61479,13389
França;2002;0,8552;67;56,83;86,40675;1281929,065;61828,81993
França;2003;0,8598;67;65,77;86,12666;1293459,992;62171,21899
França;2004;0,8644;63;66,67;87,14427;1326374,295;62533,98699
França;2005;0,8690;69;64,2;87,33461;1350600,582;62911,34995
França;2006;0,8730;71;60,81;87,42922;1383917,992;63292,3409
França;2007;0,8770;75;62,56;88,02837;1415543,466;63681,56683
França;2008;0,8790;74;66,01;87,65428;1414401,574;64057,6138
França;2009;0,8800;73;68,07;83,68;1375791,45;64419,8958
França;2010;0,8830;69;74,37;86,18;1396152,632;64768,21085
França;2011;0,8840;69;71,39;87,65;1463710;65350
Holanda;1997;0,8724;87;80,31;88,54621;311716,3246;15607,15025
Holanda;1998;0,8756;87;74,34;89,58107;323946,402;15702,01114
Holanda;1999;0,8788;90;84,67;91,39615;339121,2868;15804,73347
Holanda;2000;0,8820;90;86,32;92,03728;352486,1817;15914,89466
Holanda;2001;0,8836;90;80,59;91,67562;359274,5601;16031,40675
Holanda;2002;0,8852;89;77,3;91,23286;359548,7343;16129,97408
Holanda;2003;0,8868;88;76,61;91,80565;360755,3942;16201,04781
Holanda;2004;0,8884;90;78,61;90,85072;368823,7412;16250,72909
Holanda;2005;0,8900;89;77,4;90,64542;376371,5969;16283,45666
Holanda;2006;0,8970;87;75,93;90,78539;389146,3574;16304,77618
Holanda;2007;0,9020;86;85,86;91,8343;404403,3478;16335,33183
Holanda;2008;0,9040;87;80,48;91,16548;411699,0218;16394,30819
Holanda;2009;0,9050;90;87,76;89,92;397138,4633;16474,58608
Holanda;2010;0,9090;89;85,65;91,9;403848,4015;16557,93602
Holanda;2011;0,9100;89;85,71;91,16;421647;16741
Índia;1997;0,4466;28;48,99;41,61526;1594356,889;951861
Índia;1998;0,4514;26;37,38;42,33207;1700913,978;969153
Índia;1999;0,4562;28;45,95;43,00444;1810478,692;986477
Índia;2000;0,4610;29;50,99;44,25554;1890139,755;1004124
Índia;2001;0,4696;29;40,14;45,08014;1999767,861;1021967
Índia;2002;0,4782;28;38,95;45,73558;2075759,039;1039691
Índia;2003;0,4868;27;45,52;46,38059;2252198,558;1057504
Índia;2004;0,4954;27;62,97;46,50639;2421113,449;1065070,607
Índia;2005;0,5040;28;59,05;48,22678;2651496,437;1093563
Índia;2006;0,5120;28;64,42;50,04239;2905543,204;1111714
Índia;2007;0,5230;29;63,38;51,43582;3176824,475;1129866
Índia;2008;0,5270;33;60,62;51,00232;3391562,561;1147996
Índia;2009;0,5350;35;66,45;51,36;3661448,187;1164433,941
Índia;2010;0,5420;34;64,57;51,26;3974407,541;1180749,788
Índia;2011;0,5470;34;70,75;51;3890563;1210193
Itália;1997;0,8070;30;51,3;75,82986;1015474,263;57522,77714
Itália;1998;0,8130;34;45,47;77,76994;1029704,364;57596,94167
Itália;1999;0,8190;50;57,99;79,96265;1044782,114;57685,49567
Itália;2000;0,8250;46;57,08;81,47797;1083367,877;57814,40664
Itália;2001;0,8322;47;49,4;80,87444;1103065,83;57961,16287
Itália;2002;0,8394;46;47,3;80,27505;1108074,303;58106,88858
Itália;2003;0,8466;55;51,6;79,82737;1107886,775;58366,34136
Itália;2004;0,8538;52;50,31;80,59653;1124857,617;58746,51985
Itália;2005;0,8610;53;45,82;80,44138;1132235,233;59068,49311
Itália;2006;0,8660;48;43,53;80,45058;1155287,882;59303,68729
Itália;2007;0,8690;50;48,27;81,40843;1172411,921;59657,7112
Itália;2008;0,8710;49;46,92;81,12593;1156898,196;60122,53867
Itália;2009;0,8700;52;52,06;78,8;1096537,796;60493,01013
Itália;2010;0,8730;48;56,32;82,26;1110747,488;60780,53949
Itália;2011;0,8740;43;62,75;81,12;1168172;59465
Japão;1997;0,8572;67;70,51;59,37612;2594565,76;125924,562
Japão;1998;0,8608;71;56,81;61,72583;2541406,535;126236,616
Japão;1999;0,8644;66;66,48;61,89764;2537822,877;126512,858
Japão;2000;0,8680;58;69,64;62,81601;2610408,15;126775,612
Japão;2001;0,8716;60;62,27;62,7715;2615221,468;127108,598
Japão;2002;0,8752;64;55,11;63,09927;2622080,07;127371,38
Japão;2003;0,8788;71;63,19;64,38822;2659144,228;127552,251
Japão;2004;0,8824;71;71,91;64,6909;2732118,115;127693,749
Japão;2005;0,8860;70;68,65;65,1374;2784959,808;127715,356
Japão;2006;0,8910;69;74,23;70,23462;2841758,207;127727,574
Japão;2007;0,8940;73;72,4;70,81253;2908904,435;127779,038
Japão;2008;0,8960;76;70,03;69,13853;2875007,303;127787,736
Japão;2009;0,8950;75;78,24;63,54;2694238,853;127704,286
Japão;2010;0,8990;73;72,09;68,16;2800328,494;127579,145
Japão;2011;0,9010;77;75,21;69,13;2885478;127579
México;1997;0,6916;32;50,42;58,45857;625837,5805;95895,146
México;1998;0,7004;33;41,32;58,73071;657319,5665;97325,063
México;1999;0,7092;27;52,56;58,59167;682014,0709;98616,905
México;2000;0,7180;33;56,83;59,09848;726965,4447;99926,62
México;2001;0,7226;34;46,97;58,77773;726726,8102;101246,961
México;2002;0,7272;33;36,83;58,8657;732336,7592;102479,927
México;2003;0,7318;37;39,41;58,49076;742518,1712;103718,062
México;2004;0,7364;36;43,24;58,66475;772735,4982;104959,594
México;2005;0,7410;36;41,48;60,78365;798045,3557;106202,903
México;2006;0,7480;36;44,87;59,99059;838416,6574;107449,525
México;2007;0,7550;35;45,31;60,16035;866616,3774;108700,891
México;2008;0,7610;33;43,82;60,00311;879854,9883;109955,4
México;2009;0,7620;35;53,9;64,11;827003,828;111211,789
México;2010;0,7670;36;51,48;60,92;872491,3273;112468,855
México;2011;0,7700;33;64,03;60;909815;112337
Rússia;1997;0,6814;30;28,29;53,10171;698365,8384;148067,333
Rússia;1998;0,6846;26;30,89;55,85488;661039,1777;147813,2751
Rússia;1999;0,6878;23;33,77;57,00612;703022,4032;147352,0993
Rússia;2000;0,6910;24;31,47;63,14792;773645,6594;146709,8957
Rússia;2001;0,6978;24;37,01;65,39409;813032,8845;145990,233
Rússia;2002;0,7046;21;36,14;66,47186;851601,3601;145162,5464
Rússia;2003;0,7114;23;36,66;67,35136;913732,984;144307,7779
Rússia;2004;0,7182;27;52,14;67,21267;979301,9668;143507,3563
Rússia;2005;0,7250;27;43,59;67,43003;1041744,093;142775,5047
Rússia;2006;0,7330;28;44,74;67,40363;1126682,013;142069,421
Rússia;2007;0,7420;24;47,32;68,55282;1222845,246;141377,6794
Rússia;2008;0,7480;25;45,74;65,91626;1287019,598;140702,0217
Rússia;2009;0,7470;23;52,77;65,24;1186450,67;140041,1751
Rússia;2010;0,7510;21;49,32;68,91;1234315,402;139390,1334
Rússia;2011;0,7550;22;58,38;65,91;1348686;143117
Reino Unido;1997;0,8228;90;76,52;80,37832;1089153,626;58578,21946
Reino Unido;1998;0,8262;90;63,85;81,22489;1128437,408;58764,78245
Reino Unido;1999;0,8296;82;71,37;82,25245;1167623,474;58994,42633
Reino Unido;2000;0,8330;87;74,75;83,08646;1213342,675;59225,04461
Reino Unido;2001;0,8374;86;67,88;82,62146;1243206,464;59460,14032
Reino Unido;2002;0,8418;87;68,79;82,77593;1269277,402;59687,25957
Reino Unido;2003;0,8462;83;70,32;83,08839;1304922,341;59909,67807
Reino Unido;2004;0,8506;87;72,19;82,22704;1343431,833;60213,44843
Reino Unido;2005;0,8550;87;68,52;82,40736;1372622,234;60574,36087
Reino Unido;2006;0,8530;86;71,39;82,10474;1410888,499;60934,33998
Reino Unido;2007;0,8560;86;75,45;82,1201;1448770,274;61337,36992
Reino Unido;2008;0,8600;86;71,9;81,67998;1447824,983;61731,27576
Reino Unido;2009;0,8600;84;76,07;79,31;1377246,729;62086,03336
Reino Unido;2010;0,8620;77;76,81;80,18;1395893,408;62438,13815
Reino Unido;2011;0,8630;77;80,28;81,68;1500045;62262
